Record No.,City,Country,Latitude (degrees),Longitude (degrees),Date,Max Temperature (C),Cloudiness (%),Humidity (%),Wind Speed (kph)
259,Bilma,NE,18.69,12.92,1520194979,21.345000000000027,0,24,6.3729864
260,Adeje,NG,5.68,5.76,1520194980,26.57000000000005,12,69,6.7753214
261,Nongan,CN,44.43,125.17,1520193600,-15.0,0,60,4.82802
262,Sitka,US,37.17,-99.65,1520194980,23.545000000000016,48,48,16.5118284
263,Vao,EE,59.1,26.19,1520194981,-9.204999999999984,36,91,4.2003774
264,Dongsheng,CN,29.72,112.52,1520194981,7.545000000000016,92,92,11.522874400000001
265,Buchanan,LR,5.88,-10.05,1520193600,27.0,75,78,4.184284
266,Tongren,CN,27.72,109.18,1520194982,10.345000000000027,92,87,8.4651284
267,Rajapolah,ID,-7.24,108.18,1520194983,19.77000000000004,92,97,1.5449663999999999
268,Hobyo,SO,5.35,48.53,1520194983,25.045000000000016,48,86,10.7986714
269,Marawi,PH,8.0,124.29,1520194984,17.095000000000027,24,97,1.7059004
270,Balaipungut,ID,1.11,101.31,1520194984,23.44500000000005,56,97,1.2230984
271,Inuvik,CA,68.36,-133.71,1520190000,-10.0,90,78,3.379614
272,Askarovo,RU,53.34,58.51,1520191800,-17.0,64,77,3.21868
273,Cabrobo,BR,-8.51,-39.31,1520194986,26.545000000000016,32,80,1.7863674
274,Bowen,AU,-20.01,148.25,1520193600,25.0,90,94,4.184284
275,East London,ZA,-33.02,27.91,1520194987,22.44500000000005,20,100,1.1426314
276,Rocha,UY,-34.48,-54.34,1520194987,25.420000000000016,12,68,5.1659814
277,Pathein,MM,16.78,94.73,1520194987,20.795000000000016,0,93,5.0050474
278,San Quintin,PH,17.54,120.52,1520194988,19.39500000000004,0,79,4.1199104
279,Talnakh,RU,69.49,88.39,1520194988,-24.154999999999973,56,75,5.0050474
280,Tromso,NO,69.65,18.96,1520193000,-11.0,0,78,1.60934
281,Arraial do Cabo,BR,-22.97,-42.02,1520193600,30.0,20,79,6.598293999999999
282,Kizukuri,JP,40.81,140.39,1520194990,0.49500000000000455,92,100,4.2808444
283,Camacha,PT,33.08,-16.33,1520191800,18.0,40,82,13.196587999999998
284,Vorsma,RU,55.99,43.28,1520191800,-9.0,90,85,6.43736
285,Kruisfontein,ZA,-34.0,24.73,1520194992,17.920000000000016,8,92,6.7753214
286,Krasnyy Chikoy,RU,50.36,108.75,1520194992,-29.30499999999998,0,54,1.6254334
287,Antofagasta,CL,-23.65,-70.4,1520193600,20.0,20,64,10.782578
288,Hammerfest,NO,70.66,23.68,1520191200,-6.0,0,85,4.184284
289,Kuusamo,FI,65.96,29.19,1520193000,-16.0,75,84,0.80467
290,Porgera,PG,-5.46,143.15,1520194994,11.495000000000005,92,97,1.7059004
291,Invermere,CA,50.51,-116.03,1520194994,-4.229999999999961,80,60,1.0621644000000001
292,Champerico,MX,16.38,-93.6,1520193420,32.0,40,31,1.3840324
293,Luganville,VU,-15.51,167.18,1520194995,28.57000000000005,36,100,4.3613114
294,Watsa,CD,3.04,29.53,1520194995,17.39500000000004,20,94,1.9473014
295,Green River,US,41.53,-109.47,1520193240,-3.0,75,58,25.588506
296,Rome,IT,41.89,12.48,1520193000,10.0,40,87,7.402963999999999
297,Coihaique,CL,-45.58,-72.07,1520193600,14.0,75,54,4.9889540000000006
298,Kabanjahe,ID,3.1,98.49,1520194997,19.39500000000004,68,100,1.0621644000000001
299,Newport,GB,51.59,-3.0,1520193000,5.0,92,93,7.402963999999999
300,Svetlaya,RU,46.54,138.33,1520194998,-7.654999999999973,12,100,11.2814734
301,Samana,EC,0.12,-76.97,1520193600,30.0,40,66,2.41401
302,Wanning,AT,48.64,13.53,1520193000,-1.0,44,74,6.598293999999999
303,Jining,CN,35.41,116.58,1520194999,-0.5049999999999955,20,76,8.6260624
304,Sistranda,NO,63.73,8.83,1520193000,-9.0,20,85,7.402963999999999
305,Cabo San Lucas,MX,22.89,-109.91,1520195000,22.595000000000027,44,94,3.3957073999999996
306,Codajas,BR,-3.84,-62.06,1520194741,29.245000000000005,20,86,2.4301034
307,Savannakhet,TH,16.57,104.76,1520195001,22.07000000000005,0,88,1.9473014
308,Ibra,OM,22.69,58.55,1520195002,12.545000000000016,0,82,1.2230984
309,Chapais,CA,49.78,-74.86,1520192880,-6.0,90,85,8.207633999999999
310,Tamandare,BR,-8.28,-70.75,1520195002,27.670000000000016,24,90,3.2347733999999995
311,Santiago del Estero,AR,-27.8,-64.26,1520195003,35.82000000000005,0,38,6.7753214
312,Vostok,RU,46.45,135.83,1520195003,-14.504999999999995,64,70,3.3957073999999996
313,Kharagauli,GE,42.01,43.2,1520193600,10.0,90,93,5.793624
314,Gumdag,TM,39.2,54.59,1520195004,10.020000000000039,8,80,2.9129054
315,Kochubey,RU,44.39,46.54,1520195005,1.0950000000000273,80,96,2.6715044
316,Alto Araguaia,BR,-17.32,-53.22,1520195005,28.94500000000005,24,61,1.9473014
317,Mana,RS,43.52,20.24,1520191800,2.0,75,93,1.5449663999999999
318,Goderich,CA,43.74,-81.71,1520195006,0.27000000000003865,32,52,11.6838084
319,Necochea,AR,-38.55,-58.74,1520195006,20.39500000000004,64,96,6.7753214
320,Copiapo,CL,-27.37,-70.33,1520193600,20.0,40,64,6.598293999999999
321,College,US,64.86,-147.8,1520193480,-9.0,90,92,4.184284
322,Atar,MR,20.52,-13.05,1520195008,22.795000000000016,20,30,5.7292504
323,Birao,CF,10.3,22.78,1520195008,23.52000000000004,0,24,5.8901844
324,Jumla,NP,29.28,82.18,1520195009,-1.954999999999984,92,100,1.5449663999999999
325,Iquique,CL,-20.22,-70.14,1520193600,23.0,0,60,11.587248
326,Mortka,RU,59.33,66.02,1520195010,-11.654999999999973,68,85,3.1543064
327,Victoria,BN,5.28,115.24,1520193600,25.0,75,94,4.184284
328,Willowmore,ZA,-33.3,23.49,1520195011,8.020000000000039,0,89,1.7059004
329,Mackay,CA,53.65,-115.58,1520193600,-9.0,20,72,6.598293999999999
330,Margate,AU,-43.03,147.26,1520191800,11.0,75,66,4.9889540000000006
331,Hargeysa,SO,9.56,44.06,1520195012,13.69500000000005,36,96,2.0277684
332,Zabol,IR,31.03,61.49,1520193600,16.0,0,92,3.379614
333,Katsuura,JP,33.93,134.5,1520192820,14.0,75,100,13.196587999999998
334,Pundaguitan,PH,6.37,126.17,1520195014,26.94500000000005,44,100,7.4995244
335,Ko Samui,TH,9.54,99.94,1520195014,27.77000000000004,0,100,4.7636464
336,Torbay,CA,47.66,-52.73,1520190000,0.0,75,89,14.966862
337,Sola,FI,62.78,29.36,1520193000,-12.0,0,85,3.379614
338,Muhos,FI,64.81,26.0,1520193000,-15.0,0,84,1.60934
339,Whitianga,NZ,-36.83,175.7,1520195016,21.44500000000005,68,100,8.7869964
340,Innisfail,CA,52.02,-113.95,1520193600,-12.0,40,60,2.1082354
341,Nelson,CA,49.49,-117.29,1520190000,1.0,90,55,4.9889540000000006
342,Sompeta,IN,18.93,84.6,1520195017,21.095000000000027,0,77,3.8785094
343,Deputatskiy,RU,69.3,139.9,1520195017,-24.954999999999984,48,76,4.4417784
344,Zhanaozen,KZ,43.35,52.85,1520195018,4.545000000000016,0,91,7.1776564
345,Nuevitas,CU,21.55,-77.27,1520193000,25.0,40,31,9.173238
346,Sosnovo-Ozerskoye,RU,52.53,111.54,1520195018,-31.67999999999998,0,34,2.5105704
347,Vejprnice,CZ,49.73,13.28,1520190000,-2.0,40,68,3.379614
348,Farsund,NO,58.09,6.8,1520195019,-1.579999999999984,80,100,13.3736154
349,San Isidro,PH,16.74,121.63,1520195022,19.07000000000005,8,94,1.9473014
350,Beringovskiy,RU,63.05,179.32,1520195023,-1.7299999999999613,12,84,9.833067400000001
351,Havelock,US,34.88,-76.9,1520193480,13.0,5,37,14.001257999999998
352,Richards Bay,ZA,-28.77,32.06,1520195024,24.420000000000016,24,85,5.8901844
353,General Pico,AR,-35.66,-63.75,1520195024,24.82000000000005,68,80,1.7059004
354,Nizhniy Kuranakh,RU,58.84,125.49,1520195025,-25.904999999999973,32,62,2.7519714
355,Gao,ML,16.28,-0.04,1520195026,28.39500000000004,0,26,6.2120524
356,Chulumani,BO,-16.41,-67.53,1520193600,9.0,75,76,5.793624
357,Laguna,MX,27.52,-110.01,1520192640,27.0,20,19,9.173238
358,Mandiana,GN,10.62,-8.7,1520195027,30.345000000000027,8,23,5.7292504
359,Rorvik,NO,64.86,11.24,1520193000,-9.0,0,85,2.41401
360,Nyimba,ZM,-14.56,30.81,1520195028,18.595000000000027,48,93,1.7059004
361,Keffi,NG,8.85,7.88,1520195029,23.345000000000027,0,25,6.2120524
362,Buin,CL,-33.73,-70.74,1520193600,29.0,0,28,4.9889540000000006
363,Portland,US,45.52,-122.67,1520193360,9.0,75,66,4.184284
364,Gondanglegi,ID,-7.75,112.01,1520195030,21.44500000000005,48,97,1.6254334
365,Tabou,CI,4.42,-7.36,1520195030,27.32000000000005,8,96,4.4417784
366,Ozernovskiy,RU,51.5,156.52,1520195031,-1.55499999999995,76,89,10.8791384
367,Wynyard,CA,51.77,-104.18,1520195031,-3.42999999999995,92,94,12.0861434
368,Bo Phloi,TH,14.32,99.52,1520195032,22.845000000000027,0,88,1.8668344
369,Leningradskiy,RU,69.38,178.42,1520195032,-20.004999999999967,64,92,3.5566413999999997
370,Jayanca,PE,-6.39,-79.82,1520193600,27.0,0,57,14.001257999999998
371,Murashi,RU,59.4,48.97,1520195033,-11.80499999999995,88,83,3.4761744
372,Sol-Iletsk,RU,51.16,55.0,1520195033,-5.079999999999984,92,92,9.6721334
373,Lotofaga,WS,-13.98,-171.86,1520190000,28.0,75,83,4.9889540000000006
374,Saint-Francois,FR,46.42,3.91,1520191800,6.0,0,87,5.793624
375,Borinskoye,RU,52.46,39.37,1520195035,-11.404999999999973,36,81,8.4651284
376,Fort Nelson,CA,58.81,-122.69,1520193600,-12.0,40,60,1.60934
377,Natchez,US,31.56,-91.4,1520193360,23.0,1,20,7.402963999999999
378,Mongu,ZM,-15.27,23.14,1520195036,20.89500000000004,64,78,4.4417784
379,Ostrovnoy,RU,68.05,39.51,1520195036,-10.55499999999995,64,82,5.1659814
380,Le Havre,FR,49.49,0.11,1520191800,8.0,0,75,11.587248
381,Brae,GB,60.4,-1.35,1520193000,2.0,88,100,9.977908000000001
382,De Aar,ZA,-30.65,24.01,1520195037,15.920000000000016,0,50,2.4301034
383,Sassandra,CI,4.95,-6.09,1520195038,26.32000000000005,20,98,4.6027124
384,Merauke,ID,-8.49,140.4,1520195038,25.44500000000005,88,100,6.8557884
385,Phalombe,MW,-15.81,35.65,1520195039,20.170000000000016,80,98,2.1082354
386,Malacacheta,BR,-17.84,-42.08,1520195039,26.595000000000027,24,81,1.9473014
387,Tyukhtet,RU,56.54,89.31,1520195039,-24.654999999999973,0,39,4.2808444
388,Aquiraz,BR,-3.9,-38.39,1520193600,29.0,40,74,8.207633999999999
389,Ikongo,MG,-21.88,47.44,1520195040,19.670000000000016,100,97,5.1659814
390,Matamoros,US,25.87,-97.51,1520193300,30.0,40,62,14.001257999999998
391,Damietta,EG,31.42,31.81,1520190000,19.0,0,88,1.60934
392,Rognan,NO,67.1,15.4,1520193000,-5.0,40,57,15.771532
393,Daru,SL,7.99,-10.85,1520195042,21.52000000000004,48,98,2.1887024
394,Shetpe,KZ,44.14,52.16,1520195043,-2.3549999999999613,0,91,4.8441133999999995
395,Kayerkan,RU,69.35,87.76,1520195044,-22.17999999999998,64,79,7.338590399999999
396,Creemore,CA,44.33,-80.11,1520195044,-2.4049999999999727,0,53,9.9940014
397,Langsa,ID,4.47,97.97,1520195045,21.295000000000016,0,90,1.4644994
398,Peniche,PT,39.36,-9.38,1520191800,11.0,20,81,9.173238
399,Santa Cruz Cabralia,BR,-16.28,-39.02,1520193600,28.0,20,69,12.391918
400,Moose Factory,CA,51.26,-80.61,1520192280,-12.0,75,78,5.793624
401,Sabang,PH,13.72,123.58,1520195047,24.670000000000016,44,98,5.809717399999999
402,Caucaia,BR,-3.73,-38.66,1520193600,29.0,40,74,8.207633999999999
403,Winnemucca,US,40.97,-117.74,1520193360,2.0,90,55,9.977908000000001
404,Lata,IN,30.78,78.62,1520195048,2.0200000000000387,92,100,0.6598294
405,Labuhan,ID,-2.54,115.51,1520195049,21.920000000000016,92,98,1.5449663999999999
406,Sao Jose da Coroa Grande,BR,-8.9,-35.15,1520195049,25.045000000000016,12,97,4.6831794
407,Kiunga,PG,-6.12,141.3,1520195050,22.44500000000005,76,98,0.4988954
408,Alice Springs,AU,-23.7,133.88,1520193600,21.0,0,35,3.379614
409,Jinchang,CN,38.52,102.19,1520195051,-9.17999999999995,56,55,1.5449663999999999
410,Namie,JP,37.52,140.86,1520195051,6.9950000000000045,92,99,3.7175754
411,Clearwater,US,27.97,-82.8,1520194500,24.0,1,23,4.184284
412,Beira,ES,43.2,-8.36,1520191800,8.0,75,87,7.402963999999999
413,Teahupoo,PF,-17.83,-149.27,1520191800,29.0,75,66,3.379614
414,Lexington Park,US,38.26,-76.45,1520193180,10.0,1,43,6.598293999999999
415,Kulhudhuffushi,MV,6.62,73.07,1520195053,27.670000000000016,12,100,3.6371084
416,Nabire,ID,-3.36,135.5,1520195054,19.845000000000027,44,97,1.2230984
417,Dabat,ET,12.98,37.77,1520195054,8.170000000000016,0,58,0.6598294
418,Pemba,MZ,-12.97,40.52,1520195055,27.89500000000004,32,100,8.947930399999999
419,Ambulu,ID,-8.35,113.61,1520195056,25.795000000000016,20,100,1.3840324
420,Winneba,GH,5.35,-0.62,1520190000,29.0,20,70,4.9889540000000006
421,Buba,GW,11.59,-14.99,1520195056,25.27000000000004,0,63,7.2581234
422,Sysert,RU,56.5,60.81,1520191800,-12.0,0,85,3.21868
423,Egvekinot,RU,66.32,-179.17,1520195057,-16.97999999999996,88,86,2.1082354
424,Ranfurly,CA,53.41,-111.68,1520195058,-8.079999999999984,0,97,2.9129054
425,Nagato,JP,34.35,131.14,1520193600,15.0,75,93,7.402963999999999
426,Tuim,RU,54.34,89.93,1520195059,-22.204999999999984,36,60,2.0277684
427,Klyuchi,RU,52.25,79.17,1520195060,-9.42999999999995,88,87,3.0738393999999998
428,Cangzhou,CN,38.3,116.85,1520195060,-2.6549999999999727,0,70,5.7292504
429,Buraydah,SA,26.33,43.97,1520193600,18.0,75,93,14.001257999999998
430,Micco,US,27.85,-80.5,1520193360,22.0,40,46,10.782578
431,Ust-Barguzin,RU,53.41,109.03,1520195061,-21.704999999999984,48,70,1.7059004
432,Katherine,AU,-14.47,132.26,1520191800,25.0,88,88,1.60934
433,Tommot,RU,58.97,126.27,1520195062,-25.05499999999998,32,57,2.9933724
434,Sao Filipe,CV,14.9,-24.5,1520195063,22.02000000000004,0,94,12.4080114
435,Ust-Kuyga,RU,70.0,135.55,1520195063,-32.00499999999997,48,38,2.1082354
436,Digby,CA,44.62,-65.76,1520195032,2.795000000000016,92,87,12.568945399999999
437,Grindavik,IS,63.84,-22.43,1520194080,-2.0,40,58,15.771532
438,Kasongo-Lunda,CD,-6.48,16.82,1520195065,20.77000000000004,0,78,2.5910374000000003
439,Pangnirtung,CA,66.15,-65.72,1520190600,-17.99999999999997,90,84,1.60934
440,Aracati,BR,-4.56,-37.77,1520195066,28.345000000000027,20,66,8.5455954
441,Nigran,ES,42.14,-8.81,1520191800,9.0,75,93,10.782578
442,Albion,US,41.69,-98.0,1520193360,16.0,40,59,16.576202000000002
443,Churapcha,RU,62.0,132.43,1520195067,-25.92999999999998,64,65,3.8785094
444,Sawtell,AU,-30.38,153.1,1520193600,22.0,75,88,6.598293999999999
445,Turinsk,RU,58.04,63.7,1520195068,-14.504999999999995,32,73,4.2003774
446,Valparaiso,US,41.47,-87.06,1520194500,9.0,1,31,9.173238
447,Santiago,CL,-33.44,-70.65,1520193600,29.0,0,28,4.9889540000000006
448,Pampa,US,35.54,-100.96,1520193300,26.0,1,23,14.001257999999998
449,Sudak,UA,44.85,34.97,1520195070,-5.704999999999984,0,100,6.5339203999999995
450,Honiara,SB,-9.43,159.96,1520193600,24.0,20,94,2.41401
451,Matara,PE,-13.74,-72.9,1520190000,14.0,40,58,1.7863674
452,Lucera,IT,41.51,15.34,1520189700,5.0,90,93,18.990212
453,Talcahuano,CL,-36.72,-73.12,1520193600,23.0,0,46,13.196587999999998
454,Yashalta,RU,46.34,42.27,1520195072,1.07000000000005,92,95,2.2691694
455,Huasahuasi,PE,-11.27,-75.65,1520195073,13.745000000000005,44,51,1.6254334
456,Joshimath,IN,30.57,79.57,1520195073,-8.654999999999973,88,96,0.9012304000000001
457,Black River,JM,18.03,-77.85,1520193600,27.0,20,54,8.207633999999999
458,Jiangyou,CN,31.78,104.73,1520195074,8.645000000000039,92,50,1.5449663999999999
459,Makakilo City,US,21.35,-158.09,1520193360,26.0,1,61,4.9889540000000006
460,Harper,US,30.3,-99.24,1520193300,22.0,90,68,9.173238
461,Show Low,US,34.25,-110.03,1520193300,14.0,1,27,21.565156
462,Kavieng,PG,-2.57,150.8,1520195076,28.94500000000005,8,100,5.809717399999999
463,Bay-Khaak,RU,51.16,94.47,1520195076,-24.704999999999984,0,50,1.0621644000000001
464,Berlevag,NO,70.86,29.09,1520193000,-6.0,40,62,4.184284
465,Los Alamos,US,35.88,-106.3,1520193300,14.0,1,12,10.782578
466,Ibateguara,BR,-8.97,-35.93,1520193600,27.0,0,74,7.402963999999999
467,Yumen,CN,40.29,97.04,1520195078,-4.904999999999973,0,77,1.7059004
468,Sobolevo,RU,54.43,31.9,1520195078,-8.954999999999984,80,87,11.9252094
469,Carutapera,BR,-1.2,-46.02,1520195079,27.245000000000005,64,85,6.3729864
470,Puerto Rondon,CO,6.28,-71.1,1520195079,33.77000000000004,20,44,3.9589764
471,Acapulco,MX,16.86,-99.88,1520192520,30.0,5,62,5.793624
472,Manokwari,ID,-0.87,134.08,1520195080,27.245000000000005,64,100,3.5566413999999997
473,Truro,GB,50.26,-5.05,1520193000,7.0,20,86,8.207633999999999
474,Dudinka,RU,69.41,86.18,1520195081,-21.17999999999998,68,73,8.7869964
475,Severomuysk,RU,56.17,113.57,1520195081,-30.80499999999998,24,59,1.4644994
476,Lompoc,US,34.64,-120.46,1520193480,16.0,1,83,7.402963999999999
477,Praia,BR,-20.25,-43.81,1520190000,26.0,75,69,7.402963999999999
478,Amga,RU,60.89,131.98,1520195083,-25.60499999999999,48,63,3.9589764
479,Kannad,IN,20.26,75.13,1520195084,18.920000000000016,20,59,2.6715044
480,Vagamo,NO,61.88,9.1,1520195084,-12.154999999999973,76,88,1.3840324
481,Arroyo,US,41.39,-78.88,1520193240,3.0,1,34,11.587248
482,Vila Velha,BR,-3.71,-38.6,1520193600,29.0,40,74,8.207633999999999
483,Khuzhir,RU,53.19,107.35,1520195086,-24.42999999999998,0,72,3.3152404
484,Arti,RU,56.43,58.53,1520195086,-12.479999999999961,92,80,2.1887024
485,Santa Cruz,US,36.97,-122.03,1520193360,13.0,75,71,5.793624
486,Oktyabrskiy,RU,55.61,37.97,1520191800,-9.0,75,85,8.0467
487,San Felipe,CL,-32.75,-70.73,1520193600,29.0,0,28,9.977908000000001
488,Ciudad Guayana,VE,8.32,-62.69,1520195090,31.89500000000004,12,58,3.1543064
489,Belmonte,PT,40.36,-7.35,1520195091,6.82000000000005,88,97,8.223727400000001
490,Bathsheba,BB,13.22,-59.52,1520193600,27.0,20,88,11.587248
491,Severo-Yeniseyskiy,RU,60.37,93.04,1520195092,-20.72999999999999,48,68,2.0277684
492,Maniitsoq,GL,65.42,-52.9,1520195092,-10.154999999999973,20,70,6.1315854
493,Ekhabi,RU,53.51,142.97,1520195093,-19.72999999999999,32,89,7.9823264
494,Atambua,ID,-9.11,124.89,1520195093,24.89500000000004,0,100,0.6598294
495,Nishihara,JP,35.74,139.53,1520193600,15.0,90,81,3.379614
496,Aitape,PG,-3.15,142.36,1520195094,26.670000000000016,64,100,3.8785094
497,Moriyama,JP,35.09,135.97,1520193600,14.0,75,71,6.598293999999999
498,Meulaboh,ID,4.14,96.13,1520195094,23.02000000000004,92,100,0.9012304000000001
499,Key West,US,47.93,-96.78,1520193180,4.0,90,74,8.207633999999999
500,Aktau,KZ,43.65,51.16,1520193600,2.0,90,100,8.0467
501,Sinnamary,GF,5.38,-52.96,1520195096,26.995000000000005,80,95,7.4995244
502,Poopo,BO,-18.38,-66.97,1520195097,16.095000000000027,48,94,2.0277684
503,Ayame,CI,5.61,-3.16,1520195097,26.095000000000027,44,84,1.8668344
504,Jedrzejow,PL,50.64,20.3,1520195098,-15.704999999999984,0,62,3.5566413999999997
505,Prince Rupert,CA,54.32,-130.32,1520190000,2.0,1,47,1.60934
506,Opotiki,NZ,-38.01,177.29,1520195098,21.89500000000004,44,98,9.4307324
507,Wharton,GB,53.2,-2.51,1520193000,4.0,92,93,2.41401
508,Quatre Cocos,MU,-20.21,57.76,1520193600,25.0,75,94,4.9889540000000006
509,Gucheng,CN,32.27,111.65,1520195100,3.795000000000016,0,97,2.4301034
510,Karachi,PK,24.87,67.03,1520193300,21.0,0,77,4.184284
511,North Branch,US,45.51,-92.98,1520193360,4.0,90,86,6.598293999999999
512,Chiang Klang,TH,19.29,100.86,1520195101,14.645000000000039,0,78,1.4644994
513,Navirai,BR,-23.07,-54.19,1520195102,27.995000000000005,44,88,7.1776564
514,Kangaatsiaq,GL,68.31,-53.46,1520195102,-8.42999999999995,8,100,20.2937774
515,Kanigoro,ID,-8.13,112.22,1520195103,25.345000000000027,44,100,2.8324384
516,Orillia,CA,44.6,-79.43,1520190000,0.0,1,53,6.598293999999999
517,Quelimane,MZ,-17.88,36.89,1520193600,27.0,20,83,1.60934
518,Nampula,MZ,-15.12,39.26,1520194881,21.045000000000016,92,99,2.1082354
519,Ancud,CL,-41.87,-73.83,1520195105,16.07000000000005,24,67,3.1543064
520,Karratha,AU,-20.74,116.85,1520195105,23.57000000000005,0,78,2.1887024
